"Gene","adj.P.Val","adj.P.Val.1","adj.P.Val.2"
"TC06001010.hg.1:3",6.81055331246273e-07,3.771558295086e-18,3.50955812311464e-11
"TC15000850.hg.1:2",7.4016748072235e-07,1.30593340079239e-17,2.25715408255142e-08
"TC22001443.hg.1:1",7.73535830611079e-07,4.82186966018737e-33,1.12325088263898e-24
"TC10000093.hg.1:2",8.05482244995223e-07,3.21984964483308e-32,8.21239602222599e-17
"TC19000168.hg.1:3",8.17573174424171e-07,4.16296635965469e-45,7.56650838008129e-21
"TC06001430.hg.1:1",8.25724600812827e-07,4.47363728436501e-42,7.14053520138216e-27
"TC19002531.hg.1:1",8.69093219143161e-07,3.34166610258038e-20,1.26152412234602e-12
"TC11003441.hg.1:2",8.70487515617029e-07,1.49385243143497e-44,5.09439493498141e-22
"TC19000334.hg.1:1",8.89846708275574e-07,2.7109550873198e-40,5.9819277093551e-21
"TC08002146.hg.1:1",8.89846708275574e-07,6.44510483830881e-34,3.40444956162443e-18
"TC06003069.hg.1:1",8.89846708275574e-07,2.25188197598524e-27,2.78694674801367e-15
"TC14002133.hg.1:1",9.01979558460285e-07,5.19036517140473e-46,3.93408750230562e-27
"TC14001821.hg.1:1",9.52126512286101e-07,1.98937578519214e-45,5.17774798718581e-25
"TC10001907.hg.1:1",9.60066027122893e-07,1.64627535347044e-28,7.32028619401318e-15
"TC05000010.hg.1:2",9.75715121332665e-07,2.6874459540381e-29,7.04261320550603e-17
"TC15002463.hg.1:1",9.79899275472673e-07,4.34505475314057e-12,3.8026052511329e-13
"TC04001718.hg.1:1",9.79899275472673e-07,1.51727780414018e-50,5.25928911319252e-25
"TC14002209.hg.1:1",9.79899275472673e-07,5.86473342294897e-42,5.17715823089651e-28
"TC21001058.hg.1:2",1.04042423051083e-06,3.11640041716598e-18,1.67960029827086e-10
"TC08001710.hg.1:1",1.04042423051083e-06,1.59069124878953e-38,2.45611534574803e-18
"TC19001666.hg.1:1",1.06184360689661e-06,4.58105459482511e-21,5.64685427377886e-13
"TC15000671.hg.1:2",1.15791035923986e-06,2.00078118464271e-36,3.81970750621323e-19
"TC06000608.hg.1:4",1.15791035923986e-06,1.21163355613296e-26,1.18658785896403e-11
"TC14000584.hg.1:1",1.23755828977722e-06,4.32751300243647e-45,1.17195580795012e-24
"TC10002441.hg.1:2",1.23755828977722e-06,8.02321439128252e-18,4.48102360686592e-08
"TC11000710.hg.1:1",1.2429166557387e-06,6.70417919614686e-29,8.58757839573788e-14
"TC18000223.hg.1:1",1.2429166557387e-06,8.35195370351889e-46,2.67945783994534e-23
"TC11001124.hg.1:3",1.2755424607007e-06,1.77079352041151e-40,1.82317938632261e-18
"TC16000474.hg.1:1",1.30641152178999e-06,6.9224855548102e-42,1.20314044670075e-22
"TC01004593.hg.1:1",1.30641152178999e-06,1.484650366254e-18,1.4109161072533e-09
"TC06001425.hg.1:2",1.34717610653414e-06,5.07277881719225e-40,1.25208951879801e-26
"TC09001403.hg.1:1",1.4076596997216e-06,2.65183728403849e-40,8.83301320272448e-22
"TC02000952.hg.1:4",1.4076596997216e-06,1.22891658101353e-36,1.4260543410806e-18
"TC10001006.hg.1:4",1.42493021929359e-06,1.55079737001086e-18,1.23536808077051e-08
"TC01004592.hg.1:1",1.48828120350987e-06,1.60190515788515e-26,9.53103321113329e-15
"TC17001914.hg.1:3",1.48828120350987e-06,3.31877057834554e-31,2.54168818088955e-19
"TC11001795.hg.1:1",1.63440498153633e-06,2.22446676791424e-49,7.61836862012194e-26
